TXNAME	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENST00000216452	332.35784	338.24357	502.01905	181.75904	102	109.26735
ENST00000216455	9129	7802	7927	2546	1705	2928
ENST00000216456	155	208	159	41	19	44
ENST00000216463	2	1	3	1	0	1
ENST00000216465	1092	1024	1013	916	773	949
ENST00000216468	12	12	7	2	4	3
ENST00000216471	23	14	15	5	4	2
ENST00000216479	4133.46394	4500.99991	4140.99993	1903	1103.64341	1811.99996
ENST00000216484	195	258	177	38	47	85
ENST00000216487	2	3	1	2	1	3
ENST00000216489	172	176	150	120	54	146
ENST00000216513	7	10	7	2	0	2
ENST00000216517	0	0	1	0	0	0
ENST00000216520	59	47	61	18	6	11
ENST00000216554	483	854	707	260	98	267
ENST00000216602	7.81585	50.26555	3e-05	28.99997	20.99999	13
ENST00000216629	2	1	3	0	0	0
ENST00000216714	2751	2956	2950	3839	1941	3986
ENST00000216727	259	310	232	163	164	145
ENST00000216743	0	2.191	0	0	0	0
ENST00000216756	2508.70543	2268.27694	1992.48631	2253.89252	1416.94784	1870.19786
ENST00000216774	0	0	0	470.9231	122.67519	440.29463
ENST00000216780	534	597	545	538	273	671
ENST00000216797	930.34647	1193.99997	924.27799	1534	1234.1305	1507.82189
ENST00000216799	96	105	101	888	799	901
ENST00000216802	0.00024	165.03424	0.00022	0	0	0
ENST00000216807	91	102	60	88	34	80
ENST00000216832	536.28559	337.06819	429.79434	177.33554	94.84257	131.02584
ENST00000216840	217	224	224	319	201	389
ENST00000216862	27	33	20	11	4	14
ENST00000216877	0	0.29781	0.14894	2	0	0
ENST00000216879	1366	1786	1445	1177	971	1378
ENST00000216923	45	35	33	24	7	18
ENST00000216968	1962	1922	1736	550.38943	197	520.72119
ENST00000217026	23	15	6	5	3	14
ENST00000217073	0	0	0	0	0	1
ENST00000217075	5	0	0	5	0	2
ENST00000217109	392	423	372	275	156	245
ENST00000217121	0	0	1	0	0	0
ENST00000217131	73	112	70	42	34	37
ENST00000217159	8	10	14	20	19	65
ENST00000217169	1	0	0	0	0	0
ENST00000217173	20	24	17	19	11	36
ENST00000217182	33.91508	12	15.19262	48.7635	41.15531	82.03148
ENST00000217185	6	7	7	6	1	4
ENST00000217195	25	20	27	47	17	48
ENST00000217233	1269	2474	1800	1211	877	1596
ENST00000217244	341	448	309	37	19	34
ENST00000217254	3	2.5	4.07346	0.5	0	0
ENST00000217289	0	0	5.14509	0	0	5
ENST00000217315	2	7	4	4	0	3
ENST00000217320	0	0	0	9	5	8
ENST00000217381	3.5	4.5	3	0.45537	1	3.5
ENST00000217398	1	0	2	2	0	1
ENST00000217402	75	70	70	114	74	133
ENST00000217407	1	4	1	1	0	0
ENST00000217423	0	0	0	0	0	1
ENST00000217426	2413	2230	1918	2756	1599	3211
ENST00000217446	321	356	292	351	176	461
ENST00000217455	1170	1094	1101	1564	1083	1749
ENST00000217456	1312	1335	1064	585	254	689
ENST00000217515	2076.7498	2120.53729	1969.52112	2151.3555	863	1774.33452
ENST00000217652	18856	18374	17685	11972	5961	9959
ENST00000217740	29	41	30	8	9	8
ENST00000217890	15	24	18	33	18	45
ENST00000217893	2878	2963	2985	2234	976	2274
ENST00000217901	0	0	0	0	1	0
ENST00000217909	46	56	39	37	18	36
ENST00000217958	1322	1393	1305	1147	487	1176
ENST00000217971	826	833	781	974	495	1008
ENST00000217999	0	0	0	0	2	0
ENST00000218056	111.31093	132.15068	95.27139	13.59341	6.75484	36.64878
ENST00000218104	5	11	2	0	1	2
ENST00000218176	2	0.5	0.5	0	0	0
ENST00000218197	1	0	0.98518	0	0	0.74616
ENST00000218200	0	1	0	0.36935	0	0
ENST00000218224	71	64	52	0.14612	98	88
ENST00000218230	501.21516	391.64519	452.63897	855.00853	605.98212	1025.11905
ENST00000218340	43.15474	33.14286	26.49448	9	2	10
ENST00000218348	4.15419	77.03658	2.9033	4.12444	0.32277	74.72247
ENST00000218364	156.83695	184.32143	136.57473	66.17888	47.52579	74.21942
ENST00000218388	18195	15706	17553	12336	10454	12237
ENST00000218432	12	12	0.01797	14	11	5
ENST00000218439	0.45048	0	0.94166	0.89803	0	1.15766
ENST00000218516	469	481	404	588	362	600
ENST00000218652	262	294	242.99999	203.99999	78.99999	220.99999
ENST00000218758	98.89041	291.64168	135.5	46.5	28.5	51
ENST00000219066	476.9535	465.07022	374.14462	52.7955	11.82038	158.919
ENST00000219069	8	4.91336	6	1	2	6.53142
ENST00000219091	4	22	15	11	10	32.04505
ENST00000219139	50	63	46	36	12	39
ENST00000219150	23	29	23	82	58	115
ENST00000219168	52	36	40	40	9	26
ENST00000219169	6390	5553	5250	8266	4750	6475
ENST00000219204	844	1104	835	393	211	346
ENST00000219207	59.75787	149	47	132.23574	48.96115	540
ENST00000219235	4	3	4	2	2	4
ENST00000219240	201	207	195	150	91	158
ENST00000219251	18	19	20	32	21	37
ENST00000219252	568	622	541	940	520	991
ENST00000219255	4	4	0	0	0	14.53931
ENST00000219271	0	3	5	0	0	0
ENST00000219281	436	572	450	330	116	317
ENST00000219299	104	110	90	30	8	44
ENST00000219302	1230	1210	1132	1449	1221	1592
ENST00000219313	6599	6864	6294	4773	2363	3817
ENST00000219315	43	55	60	25	25	25
ENST00000219320	22	27	25	20	8	24
ENST00000219322	0	0	1	0	0	2
ENST00000219334	0	1	0	0	0	0
ENST00000219343	11	9.34894	8	11	0	10
ENST00000219345	0	21.15693	6.9537	0	25	0
ENST00000219368	0	0	1	136	69	187
ENST00000219400	1312	1461	1310	1182	678	899
ENST00000219431	14	14	8	21	11	22
ENST00000219439	76	93	57	30	17	34
ENST00000219473	145	213	180	148	23	134
ENST00000219478	5	4.96409	1	5.97116	2	2.97848
ENST00000219479	1181	1244	969	640	528	625
ENST00000219481	286.70154	489.82165	363.45134	133.58108	109.42892	202.96187
ENST00000219535	93	61	64	40	56	43
ENST00000219548	619.29174	1546.31544	1125.86741	486.15789	445.5	1040.67512
ENST00000219551	2	4	2.78769	0	0	2
ENST00000219599	0	2	0	0	0	0
ENST00000219746	0	0	0	1	0	0
ENST00000219771	26	37	23	0	3	0
ENST00000219782	1	0	0	0	0	0
ENST00000219789	320	355	326	198	110	209
ENST00000219794	583	663	494	596	369	751
ENST00000219837	82	164	122	35	28	37
ENST00000220003	9	14	5	4	3	10
ENST00000220058	238	244	207	93	46	96
ENST00000220166	2535	2572	2413	2963	1636.39941	3436
ENST00000220325	19.98109	33.18991	27.91753	11.93582	10.23254	13.99423
ENST00000220420	5	5	4	3	0	3
ENST00000220496	509.99998	225.62686	353.80407	294	258	317
ENST00000220507	203	257	214	50	36	58
ENST00000220509	19	27	25	13	6	18
ENST00000220514	245.59419	254	251	210	117	178
ENST00000220531	184	144	167	45.35994	28	37
ENST00000220562	0	0	0	0	0	1
ENST00000220584	43.52942	70.36231	1559.54617	8.61427	61.89695	105.20274
ENST00000220592	1	2	2	1	0	0
ENST00000220597	5	6	6	2	0	0
ENST00000220659	123	169	142	208	114	236
ENST00000220669	300	275	242	1063	508	1056
ENST00000220751	360	522	466	220	100	188
ENST00000220763	36	38	34	7	4	5
ENST00000220809	136	145	115	12	3	17
ENST00000220822	49	51	55	15	3	10
ENST00000220849	2119.39736	1799.5907	1038.26495	225.21279	28.11593	256.5813
ENST00000220853	526	587	520	251	124	339
ENST00000220888	0	1	2	1	0	0
ENST00000220913	215.99999	278.99999	213	193	171	159
ENST00000221086	20	15	15	11	1	8
ENST00000221114	741.69146	705.84549	549.88259	413.03536	265	460
ENST00000221130	23	36	22	29	20	54
ENST00000221132	35	43	28	26	19	28
ENST00000221138	244	331	302	216	127	220
ENST00000221200	32.5	31	28.5	12	6	15
ENST00000221233	1400.83054	0	1614.13366	1539.70608	0	0
ENST00000221249	0	1	0	0	0	1
ENST00000221264	36	36	26	27	16	26
ENST00000221265	155	160	137	320	214	395
ENST00000221283	1257	1291	1194	2157	1511	3077
ENST00000221315	10	16	17	1	3	1
ENST00000221327	1	2	1	0	0	0
ENST00000221363	0	4	0	0	0	3.99731
ENST00000221403	80	66	77	87	46	77
ENST00000221413	4	0	1	1	3	5
ENST00000221418	13.30392	18.46838	14	8772.09697	3044.12919	5324.77085
ENST00000221419	66.52842	136.74964	121	37.45977	34.19011	106.86527
ENST00000221431	79	74	53	273	149	389
ENST00000221455	7	6	10	9	7	17
ENST00000221459	39	54	31	31	27	33
ENST00000221462	1	0	1	1	0	2
ENST00000221466	40.0756	47.3845	44	65.6242	49.99999	80.95094
ENST00000221480	78	134	88	27	34	51
ENST00000221486	2356	2251	1863	2163	1921	2338
ENST00000221494	224	353	330	274	268	396
ENST00000221498	9	6	11	0	0	0
ENST00000221504	12	16	10	0	0	1
ENST00000221554	34	28	30	37	24	42
ENST00000221561	128	113	108	145	79	153
ENST00000221566	457.67286	571.64203	500.74253	326.77751	217.66618	450.44956
ENST00000221573	89	149	82	166	140	223
ENST00000221576	62.79983	60.93117	66.65545	53.93136	58	56.86839
ENST00000221671	4	2	0.08348	1.34434	0	10
ENST00000221700	0	1	0	0	0	0
ENST00000221730	46	35	36	0	0	0
ENST00000221735	0	0	2	11	4	16
ENST00000221770	11	3	5	7	7	11
ENST00000221784	0	0	0	0.12192	0.07605	0
ENST00000221801	405	589	466	1390	1718	1664
ENST00000221847	56.92217	29	42	93.8223	49	134.85266
ENST00000221855	752	829	769	1296	1044	1372
ENST00000221856	0	0	0	2	3	2
ENST00000221859	4480.59358	3754.51597	3900.88626	11611.26267	9522.73584	8116.61247
ENST00000221891	3	2	1	1	0	0
ENST00000221922	5	16	4	17	13	16
ENST00000221943	66	78	61	181	112	262
ENST00000221957	3152	3326	2754	1699	1255	2052
