GENEID	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENSG00000010626	298.00001	320.99999	291.99999	401	337	394
ENSG00000010671	0	1	1.00002	0	0	3.00006
ENSG00000010704	169.00001	153	149.99999	31	22	19
ENSG00000010803	295.00001	229	269	537.99999	407	447
ENSG00000010810	203.00001	150.99998	163.00001	182.99993	174	108
ENSG00000010818	95.00001	70	92.99999	63	39	34.99999
ENSG00000010932	2	0	1	4	1	2
ENSG00000011007	700	718.99999	645	524	458	375
ENSG00000011009	2457.00001	2374.00001	2175	3263	2367	3306.99999
ENSG00000011021	62	74	67	65.00001	55.99999	66.99999
ENSG00000011028	512	435	477	125	278	94
ENSG00000011052	228	241	232	241	165	209
ENSG00000011083	0	0	0	0	0	2
ENSG00000011105	297.99999	250	269	233.99999	202.99999	195
ENSG00000011114	438.00001	365	354.99999	249	325	156.00001
ENSG00000011132	189.00001	192.99999	192	104	195	128.00001
ENSG00000011143	460.99998	430.99999	418.99999	354.00001	302	346.00001
ENSG00000011198	1003.99998	932	833	312.00001	183.99999	245.99999
ENSG00000011201	17	15	16.00001	71	47	55
ENSG00000011243	308.00001	312	283.00001	291	383	322
ENSG00000011258	71.99999	59.00001	80	83	104.99999	50.00001
ENSG00000011260	845.99999	931.00001	935.00001	1036	884	860
ENSG00000011275	1700	1076	1188	996	723	654
ENSG00000011295	450.99999	422.99999	426	579.00001	533	518
ENSG00000011304	8709	4708	6913	13211	15392.00003	10991.99998
ENSG00000011332	33	29	28.99999	25.99999	52	26
ENSG00000011347	211.99999	179.99999	180	154	201	91
ENSG00000011376	246	241.00001	226	166.00002	134	103.99999
ENSG00000011405	260	205	247.99999	112	183	91.99999
ENSG00000011422	2736	2584.99999	2509	2469	1752.99999	2449
ENSG00000011426	474	407	352	213	266.99999	145
ENSG00000011451	254	172	216.99996	225	336.00001	156.99998
ENSG00000011454	251	215	240	184.99999	219.00001	123.99999
ENSG00000011478	250.99999	234	236	443	350	359
ENSG00000011485	252	289	270	209	244	271.00001
ENSG00000011523	418	350	387.99998	230.00002	197	188.99999
ENSG00000011566	252.00001	258.00001	276	150.00001	112	118
ENSG00000011590	0	0	0	0	0	1
ENSG00000011600	1	3	0	0	3	0
ENSG00000011638	2964.99999	2781.99999	2664.00001	1360	787	1034.00001
ENSG00000011677	0	0	0	38	52	43.00001
ENSG00000012048	464.00003	454.00002	417.00001	196.00001	175.00001	185.99999
ENSG00000012061	774.99999	766.99999	750.00002	3017.99999	2550.00001	3038.99999
ENSG00000012124	41.99999	26	25.99999	197.99999	132.99998	198
ENSG00000012171	178	243	205	142.00001	245	114.99999
ENSG00000012174	286	278.00001	256	84	73	79.00001
ENSG00000012211	429	432.99999	404	338.00001	386.99999	230.99999
ENSG00000012223	1	2	3	0	0	0
ENSG00000012232	254	234.00001	248.00002	211.00001	248.99999	153.99999
ENSG00000012504	2	5	1	1	2	2
ENSG00000012660	1067	972.99999	897.00001	1172	774	918.99999
ENSG00000012779	11	7	16	202.99999	126	200.99999
ENSG00000012822	386.00002	311.00001	290	299	285.00001	317.99999
ENSG00000012963	899.00001	685	696	206	170	198.99999
ENSG00000012983	267	238	241.00001	182.99999	175.99999	139.99999
ENSG00000013016	10	16	15	26.00001	39	33
ENSG00000013275	1772.00001	1726	1529.00001	2997	2375	2993
ENSG00000013288	203.99999	180	167	199.99999	180	143
ENSG00000013297	38	44	36	1	3	1
ENSG00000013306	6184	7141.99999	5701.00001	5699	5621.00001	5594.99999
ENSG00000013364	2408.99999	2242.99999	2142.99999	1950	2969	2175
ENSG00000013374	1449.99998	1231.00001	1307.99998	1022	856	792
ENSG00000013375	488	517	487	192.00002	146	167
ENSG00000013392	132	162	162	96	55	91
ENSG00000013441	284.99999	328.00001	325	324.00001	218.99999	316.99999
ENSG00000013503	99	87	121.00001	151	84.00001	93
ENSG00000013523	441	461	446	413	513	317
ENSG00000013561	773.00001	655.00001	729	251	171.99999	227
ENSG00000013563	721.99999	696	718	627.00001	470	569.00001
ENSG00000013573	249.99999	197.99999	223	685.99997	975	621.99998
ENSG00000013583	1031	1077.00001	977.00001	1703.99999	1342	1391.99999
ENSG00000013588	1592.99999	1239	1328.00002	3139.99999	2860.99999	2457.99999
ENSG00000013619	30	29	22.99999	70.00001	91.99998	97
ENSG00000013725	0	1	0	4	0	1
ENSG00000013810	804.00001	654	671	1114	1453	822
ENSG00000014123	636	543	596	304	239	273
ENSG00000014138	224.99999	183.99999	139	225.99999	272	243
ENSG00000014164	130	109	83	164	274	132
ENSG00000014216	3532.00001	3099	3124	3841	4813	4460
ENSG00000014257	148	857	937	60	32	46
ENSG00000014641	6545.00003	6107.99999	5939	4989.00001	3014.00003	4520
ENSG00000014824	1070.00001	989	996	549	393	450.99999
ENSG00000014914	115	103.00001	137	59	57	60
ENSG00000014919	999	1004	888	791	554.00001	616
ENSG00000015133	224	152	152.99999	204.00001	172	126
ENSG00000015153	837.99999	662.99999	729.99999	668.99999	613.99998	296.99999
ENSG00000015171	504.99999	402.99998	443.99999	128.99999	99	93
ENSG00000015285	5	4	8	2	4	1
ENSG00000015413	1	1	2	22	12	26.99999
ENSG00000015475	755	754.00001	738.99999	247	123	161.00001
ENSG00000015479	2203.00002	1639.99999	1797.00002	1130	967.99999	977.00001
ENSG00000015520	3	2	4	1	0	1
ENSG00000015532	240	198	232	398	458.99999	257
ENSG00000015568	96.99999	63	75	65	52	47
ENSG00000015676	1570	1317	1424	1040.00001	1484	1017
ENSG00000016082	2	0	0	1	0	0
ENSG00000016391	77.99999	40	51	112.99999	146	72.99999
ENSG00000016402	8	7	13	2	7.00002	1.00002
ENSG00000016864	679.99999	754.00001	663	232.99999	154	204
ENSG00000017260	666	503	575	264.00001	199	220.00001
ENSG00000017427	10	6	9	93	68	66
ENSG00000017483	24	19.99999	16.00001	0	2	0.99999
ENSG00000017797	2821	1995	1782.99999	1502.00001	1232	852.00001
ENSG00000018189	190.99998	140	151.99999	162	114	82
ENSG00000018236	3.99999	12	11.99999	96.00001	59.99999	61.99998
ENSG00000018280	130	116	121	69	65	50
ENSG00000018408	1659.99999	1535.99999	1605.99999	891	710.00001	758
ENSG00000018510	1456.00001	1192	1326.99999	983	687	723.00001
ENSG00000018610	833	650	709	1042.00001	861	697
ENSG00000018625	8	7	10.00001	4	6	4
ENSG00000018699	401	388	392	215	217	182
ENSG00000018869	437	415	345.99999	33	13	37
ENSG00000019102	14	3	2	3.00001	3	1
ENSG00000019144	475.99999	360.99998	388	364	641.99997	303.99997
ENSG00000019169	3.00002	6.99998	4	11	1.99994	6
ENSG00000019186	826	642	770	255	183	265.99999
ENSG00000019485	35	19	26	16	25.99999	13
ENSG00000019505	0	0	1	39	34	46
ENSG00000019549	500	545	468	98	63	67
ENSG00000019582	7568	7536	7694.99999	246	134	308
ENSG00000019991	1	0	0	30	27	26
ENSG00000019995	144	105	123	57	96	36
ENSG00000020129	211	184	215	126	188	109
ENSG00000020181	4.99998	1.99998	2.00002	4	2	6
ENSG00000020256	409	367	333	285	221.99999	206.99999
ENSG00000020426	3676	3296	3439.99999	1491.00001	1125	1212
ENSG00000020577	187	164	189	160	178	80
ENSG00000020633	1	2	0	0	0	0
ENSG00000020922	450	397.00001	386.99999	475.00001	433.99999	329.99999
ENSG00000021300	198	216	214	513	390.99999	517
ENSG00000021355	5148.99999	4792.00001	5047	7896.99999	4583	6620
ENSG00000021461	0	1	0	0	0	1
ENSG00000021488	0	2	1.00002	2.00002	0	6
ENSG00000021574	230	215.00001	230	143.00001	129.99999	100.99999
ENSG00000021645	1	2	1	3	1	2
ENSG00000021762	70.00001	73.99999	62.99999	83.99999	128.99999	66
ENSG00000021776	325	261.99999	342	226	300	166
ENSG00000021826	72	49.99999	57.99998	4.99998	4.99998	1.00002
ENSG00000022267	184.99999	173	151.99999	37.99999	26	28
ENSG00000022277	4345	4271	3875.99999	3736.99999	2546.00002	3294.99999
ENSG00000022556	3	1	0	3	4	0
ENSG00000022567	30	17	30	43	50	40
ENSG00000022840	712	706.99999	659	812	1120.99999	723.99999
ENSG00000022976	88.00001	90	80.99999	54	52	43
ENSG00000023041	899.00002	758.00002	733.99999	179.00001	99	161.00001
