"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp"
"185","RPL9",22130.4132432961,2.05379597174144,0.123683772527244,1.6241895258658e-62,1.72313339590098e-60,"Upregulated"
"186","ZNF433-AS1",521.3203463493,-3.14785467245506,0.190533243658116,2.46442103923784e-62,2.60049417941512e-60,"Downregulated"
"187","FIBCD1",726.883549101232,2.82951625939351,0.171249935881987,3.19964145442116e-62,3.35825469657348e-60,"Upregulated"
"188","CAPN8",293.970869716346,3.64004708343066,0.220995721773596,5.95246902439169e-62,6.21431433732636e-60,"Upregulated"
"189","NAALADL2-AS2",347.371687611585,3.38381137745463,0.20543102234265,6.20013281685582e-62,6.43862469822377e-60,"Upregulated"
"190","POLR1D",4735.59645518462,2.33758948284751,0.141773048627757,8.31697646177463e-62,8.5914366850132e-60,"Upregulated"
"191","CHIA",842.089469998716,9.69821874646309,0.580619420145564,1.30792697374567e-61,1.34401480176473e-59,"Upregulated"
"192","KCTD14",973.22375669224,2.48642661239314,0.151283138376158,1.67817580831447e-61,1.71549773905146e-59,"Upregulated"
"193","TTYH1",412.96069744886,-2.96965566684971,0.180886001512775,2.05796530964131e-61,2.09283342654559e-59,"Downregulated"
"194","FYB1",432.341418361805,-7.45452475599085,0.450480274112006,2.35576156447411e-61,2.38332640339863e-59,"Downregulated"
"195","APH1B",469.730669335782,-3.84501889881499,0.235307083557525,3.30243123240945e-61,3.32393937428207e-59,"Downregulated"
"196","OS9-AS1",334.953661606946,4.28887721701197,0.261367909829774,4.31466119797861e-61,4.3206048639146e-59,"Upregulated"
"197","IFI16",3278.0815601229,-2.05741133505933,0.125833719236129,8.42790801809718e-61,8.39667769904535e-59,"Downregulated"
"198","HSD17B14",270.591856699015,-4.11383631733987,0.252029320609862,9.95887910580405e-61,9.87186465705131e-59,"Downregulated"
"199","THBS1",319.21325338503,-3.33281875624368,0.204759770486794,1.94472026659884e-60,1.91804144083093e-58,"Downregulated"
"200","RPL18A",138618.309762867,2.253173834235,0.138492815236482,4.51941878340368e-60,4.4351316230932e-58,"Upregulated"
"201","ECHDC2",1089.65242910091,2.54659135756885,0.157007899686606,5.55173171558519e-60,5.42108648665625e-58,"Upregulated"
"202","ENSG00000293161",961.162877079779,3.38251503092169,0.208769446246846,5.58267681220618e-60,5.42431672243419e-58,"Upregulated"
"203","EPDR1",259.627355382165,-5.90668595844934,0.362888191350556,6.02644719612438e-60,5.82665414376026e-58,"Downregulated"
"204","VCAN",1506.63022617998,-2.84288353554818,0.175684097643015,8.2467102881607e-60,7.9342246483201e-58,"Downregulated"
"205","AP1S2",383.764035302359,-2.95542233640999,0.182650130378996,8.33847219293821e-60,7.98337530394137e-58,"Downregulated"
"206","HID1",528.118676157821,3.29792561776574,0.204747345097286,2.29970822312704e-59,2.19108608229682e-57,"Upregulated"
"207","CPVL",463.733737852835,8.47846188700632,0.519342068037367,2.89943867519496e-59,2.74914410038896e-57,"Upregulated"
"208","TMEM105",289.031563553679,3.67410823556128,0.228588732740545,5.00234843995118e-59,4.72024484764047e-57,"Upregulated"
"209","KLK8",182.27346009368,4.63715614379508,0.288200585503308,5.91756697366031e-59,5.557133348901e-57,"Upregulated"
"210","HMOX1",1271.05649389932,-2.87472259136262,0.179172685225435,7.12014098653591e-59,6.65461938774954e-57,"Downregulated"
"211","SLC2A3",282.224311210757,-4.20452241901916,0.263196133235086,1.68703214194696e-58,1.56925970853047e-56,"Downregulated"
"212","ID2",690.540459298963,2.83626691025298,0.177510164017784,2.54334166483035e-58,2.35463051205779e-56,"Upregulated"
"213","ENSG00000266869",370.723735306943,-3.09577542440399,0.193891969109403,2.65263663824502e-58,2.44428635205798e-56,"Downregulated"
"214","CPT1C",232.377347905758,-4.92454896911,0.307401323030576,2.77027625688482e-58,2.5407575744803e-56,"Downregulated"
"215","TMEM156",967.772442676611,3.08349420942332,0.193464450073772,4.06152372065328e-58,3.70769888675637e-56,"Upregulated"
"216","ENSG00000287530",760.805792909175,-9.03886180496447,0.55728249239188,4.38385248469157e-58,3.98342003319636e-56,"Downregulated"
"217","SNAI1",348.948478128177,-3.18787932503928,0.200335841131471,6.01330449584056e-58,5.43885379446372e-56,"Downregulated"
"218","ZNF577",477.209059358466,-3.71182597835618,0.233061878304036,6.18325410291718e-58,5.56691414119062e-56,"Downregulated"
"219","RPL18",61803.6585682878,1.87426694287349,0.117363827120954,1.6754459600967e-57,1.50155150040265e-55,"Upregulated"
