"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"12705","PRIM1-208",51.0616935984897,-0.10707070792065,0.324586625791755,0.727040056901014,0.808020677684005
"12706","CCDC59-207",402.033099992601,0.537812952487567,0.27027890829741,0.0386867016588708,0.0781763216882108
"12707","VEZT-237",17.6274737770711,-0.0612312840027065,0.50620932764979,0.887790966833953,0.927683771698919
"12708","LINC02356-202",27.0171156655003,-0.258393195039138,0.429384860853485,0.505167327143408,0.619806986853467
"12709","ORMDL2-205",44.8473539379147,-0.00752271183544178,0.32878109947924,0.979154236292674,0.986422239756091
"12710","CD63-214",3188.80641330226,7.27515332008374,0.280922739504419,3.4697313551829e-149,5.55008314056899e-146
"12711","FICD-204",31.3823561194413,-0.534803561096751,0.403745576064391,0.147252586557666,0.235248085786399
"12712","DDIT3-205",87.4761387970485,0.182030187839174,0.266908855884427,0.480885321436364,0.597544439476525
"12713","PPHLN1-221",34.084194484094,-2.62768867383385,0.488717645258928,1.0709941382093e-08,9.52495739914977e-08
"12714","CEP290-206",90.8640529723769,-0.241870475637342,0.348523818833526,0.457702376387025,0.575475100601372
"12715","LIMA1-214",18.5507073063612,-1.12021782956983,0.519217972181284,0.0140791526216575,0.0330075946199119
"12716","PPP1R12A-AS1-201",15.2320481448464,-1.75545429708029,0.776931166217943,0.00525568073597646,0.0140532196300247
"12717","NUBPL-213",63.5180292218999,-0.132795289582037,0.365914130619255,0.6962088291609,0.783988768915526
"12718","SPATS2-222",11.8737180268237,-0.60857661927605,0.632713323510618,0.231096197721434,0.338135789073753
"12719","NOPCHAP1-204",1696.50565571306,0.722055689997493,0.192828664780632,0.000134608638335141,0.00054500557708862
"12720","SLC25A3-216",1256.93455179683,0.655037191489607,0.168486980833229,7.97921177627819e-05,0.000340614694086873
"12721","CRADD-211",14.9196225434774,-0.0324972751852899,0.493671996134936,0.938315201050631,0.96000688104568
"12722","RPAP3-DT-204",20.6525312673995,1.68244547586537,0.612804353835691,0.00137545696901859,0.00433769657290554
"12723","ATG101-207",212.109085859641,-0.307443366369315,0.194218872278442,0.106070434665716,0.180341563227773
"12724","MYL6B-211",46.559738335969,1.72441481825045,0.383890373075933,1.76732874877537e-06,1.05175551421939e-05
"12725","BLOC1S1-206",37.1787961600392,1.17145220207514,0.412560340553917,0.00195031931324908,0.00589412290160592
"12726","OAS1-210",88.5871007329528,-0.526405380617683,0.339022849725615,0.0993250642488669,0.170941091975801
"12727","UQCC6-211",6.80975184180727,0.0665947074256252,0.632600920680362,0.895296206989075,0.932957806389639
"12728","SNRPF-205",49.6167789147281,1.99828562391436,0.410997928672352,2.39619442676639e-07,1.67247612243177e-06
"12729","EGLN3-209",30.7980932963839,0.996246816456032,0.474108953498733,0.0185685325784148,0.0419177135646192
"12730","HNRNPC-204",1922.5605438896,0.451892701708613,0.121844216922632,0.000187556333840385,0.000732113742377825
"12731","LINC02313-201",23.3084005864788,9.09698898561107,2.79780334080965,6.66370227418787e-11,8.39296674511604e-10
"12732","RDH11-203",31.8318451568321,-0.756930687285707,0.383569838048739,0.0330190307526974,0.0682003481530996
"12733","CD302-204",12.9126066113349,0.427791534465102,0.58632596135227,0.374690094701506,0.49440794583951
