R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
PARP3-215 0 1 0 0 0 0
PARP3-216 2 0 0 0 0 0
PARP3-217 0 0.8061 0 0 1 0
PARP3-218 0.72691 0 3 0 2 3
PARP3-220 3 0 0 0 0 0
BIK-202 0 0 0 2 0 0
BIK-203 0 0 0 4 0 3
HMGN1-226 9 9 8 0 0 0
HMGN1-227 0 1 0 0 1 0
HMGN1-228 16 12 12 7 7 8
HMGN1-229 2 4 1 1 1 0
ANO10-222 4 2 1 2 0 1
ANO10-223 3 5 2 1 0 4
ANO10-224 1 1 0 0 0 0
ANO10-225 0 1 0 0 0 1
RBM47-217 2 3 1 1 0 1
RBM47-218 0 0 0 0 0 1
RBM47-223 1 4 0 0 0 1
MBOAT2-211 1 0 0 0 0 1
MBOAT2-212 1 2 3 0 0 1
MBOAT2-213 0 2 2 0 0 1
TRIM9-212 0 0 1 0 0 0
SERINC1-202 2 3 0 0 1 0
SERINC1-203 0 5 1 1 0 1
SERINC1-205 0 0 1 0 0 0
SERINC1-208 0 0 0 1 0 0
PPIC-203 1 0 0 1 0 0
PPIC-204 1 0 0 0 0 1
ERO1A-212 1080 1119 986 255 104 215
ERO1A-213 1 4 0 0 0 0
C1GALT1-207 32 42 31 14 13 17
C1GALT1-208 5 6 9 0 1 1
C1GALT1-209 69 67 68 8 6 14
C1GALT1-210 0 0 1 0 0 0
C1GALT1-211 10 6 4 0 0 0
C1GALT1-216 0 1 0 0 0 1
C1GALT1-220 3 2 0 0 0 0
C1GALT1-221 0 1 5 0 2 0
C1GALT1-222 8 12 13 0 1 2
C1GALT1-223 3 3 2 0 0 0
C1GALT1-224 1 0 2 1 0 0
C1GALT1-225 0 1 1 0 0 0
C1GALT1-227 0 1 3 0 0 0
C1GALT1-229 1 0 0 0 0 0
C1GALT1-230 0 0 1 0 0 0
FXYD2-213 0 0 0 1 0 0
TRAF7-210 18 17 11 11 7 11
TRAF7-211 2 0 0 0 0 0
TRAF7-212 0 1 0 0 0 0
TRAF7-213 1 0 0 0 0 0
TRAF7-215 0 0 0 1 1 0
TRAF7-223 1.49495 0.86436 0.61967 2.91813 0.98793 0.65712
KRCC1-203 126 133 107 38 23 31
KRCC1-204 0 2 3 0 0 1
KRCC1-205 18 6 5 4 0 0
KRCC1-206 1 4 5 0 0 0
KRCC1-207 0 1 1 0 0 0
KRCC1-208 0 0 4 0 0 0
KRCC1-209 0 0 1 0 0 0
PTCD1-206 0 1 2 0 0 2
PTCD1-207 0 0 0 1 0 0
CWC22-204 0 1 0 0 0 0
CENPC-208 2 1 1 1 0 0
SMPDL3B-208 2 0 0 1 0 1
SMPDL3B-209 2 0 1 7 6 11
NLK-207 0 0 0 1 0 1
TMEM120A-216 0 1 0 0 0 0
TMEM120A-217 1 0 0 0 0 0
TMEM120A-218 1 0 0 0 0 0
TMEM120A-219 0 0 1 3 2 1.8135
TMEM120A-220 0 0 0 0 0 2
VBP1-205 0 1 1 3 0 0
YTHDC1-208 0 2 0 0 0 0
C6orf136-215 2 6 3 2 1 3
MAP2K3-216 0 0 0 0 0 2.06591
MAP2K3-217 2 1 1 6 5 9
MAP2K3-218 2 0 0 1 0 1
ISOC2-209 0 1 0 0 0 2
ISOC2-210 0 1 0 0 0 1
ISOC2-211 126 142 120 295 202 277
ISOC2-212 2 9 3 5 3 5
ISOC2-213 2 3 5 0 1 0
ISOC2-214 3 6 2 2 1 3
ISOC2-215 0 0 0 0 2 0
ISOC2-218 0 0 1 0 0 0
ISOC2-219 1 2 0 0 2 1
EIF3C-215 113.60488 158.24202 101.45898 46.73501 14.21074 8.24444
EIF3C-216 2 1 0 3 2 2
EIF3C-217 13.9073 18.31682 19.18179 0.36258 7 18
EIF3C-219 0 0 0 0 1 0
EIF3C-222 1 0 1 0 0 0
EIF3C-223 1 1 2 1 0 2
WAC-230 0 4.45353 4.51976 5.99999 0 10
RAVER1-208 0 1 0 0 0 0
RAVER1-209 0 3 0.31094 1 0 1.5
WAC-231 3 5 1.50421 2 0 3
WAC-232 0 0.51761 0 1 0 0
WAC-233 1 3 0 0 0 0.6245
WAC-234 0 0 0 0 0 0.3755
WAC-236 0.78891 0 0 0 0 0
ZNF311-205 7 7 4 0 0 0
ZNF311-206 0 1 1 0 0 0
ZNF311-208 6 2 1 0 0 0
TMEM127-209 0 0 0 0 0.07941 0
LDAF1-210 21 12 12 7 7 9
LDAF1-211 1 2 1 0 0 0
LDAF1-212 1 2 0 0 0 0
LDAF1-216 0 1 0 0 0 0
LDAF1-218 1 0 1 0 0 0
RPS9-214 171.38546 263.9559 282.67984 570.69247 910.02374 6184.68226
RPS9-215 210.99806 379.6644 315.99947 27.91173 10.92036 142.43136
RPS9-216 22 20.5 23.5 28.31784 12.01106 57.319
RPS9-217 20.78928 46 39 0 4 2.9996
RPS9-218 6 0 11 89 63 0
RPS9-219 4 0 4 0 0 0
RPL38-209 0.08677 0.07264 0 0.35859 0.0504 0.0782
RPL38-210 60 55 36 38 28 21
ABHD5-217 2 1 1 0 0 0
ABHD5-218 1 0 1 2 0 0
QDPR-213 4 9 1.5 2 6 4
QDPR-214 0 0 0 0 0 1
QDPR-215 0 0 0 0 2 0
QDPR-216 0 0 0 1 0 0
WDR45B-211 3 3 0 3 1 0
WDR45B-212 1 2 0 2 2 1
WDR45B-213 0 2 0 2 0 0
WDR45B-216 0 0 0 2 0 0
IPO8-212 2 0 0 0 0 1
HLA-DPA1-249 1 0 0 0 0 0
RFFL-213 2 1 0 0 0 0
RFFL-214 3 7 3 0 3 1
RFFL-216 0.5 0 0 0.5 0 0
RFFL-219 0 0 1 1 0 0
RFFL-221 1 0 2 0 0 0
RFFL-225 0 0 1 0 0 0
RFFL-227 0 0 1 0 0 0
EIF2D-212 12 12 4 7 0 4
EIF2D-213 8 7 3 0 0 1
EIF2D-216 3 5 3 1 0 3
AZIN2-221 2.43548 5 2 3 3 2
AZIN2-225 2 0 0 0 1 0
AZIN2-227 0 0 1 0 0 0
BUD31-210 1e-05 9.4338 2e-05 1e-05 23.47259 0
BUD31-211 17 21 20 12 6 16
BUD31-212 31.10356 45.65751 33.21248 6.26751 24.97079 3.01798
BUD31-213 13 8 14 8 4 7
BUD31-214 3 2 1 3 1 0.86128
BUD31-215 42 48 32 18 10.99997 22
BUD31-216 23 21 15 14 6 11
BUD31-217 507.89044 627.80061 447.69722 210.95298 196.32471 24.68119
BUD31-218 3 2 10 2 0 1
BUD31-220 0 0 0 1 0 1
CNBP-218 0 1 0 0 0 0
CNBP-220 0.5 0 2 1 0 1
CNBP-224 1 0 0 0 0 0
CNBP-225 1e-05 0 0 0 0 0
SUMF2-225 3 7 10 27 5 22
SUMF2-226 0 2 0 0 0 2
SUMF2-227 0 0 0 1 3 0
ESYT1-212 1 0 0 0 0 0
ESYT1-218 0 1 0 0 0 0
ESYT1-219 1 1 0 0 1 0
ESYT1-220 0 2 0 0 0 0
ESYT1-222 1 0 0 0 0 0
MPV17-224 9 7 3 4 1 2
MPV17-225 17 26 12 9 2 8
MPV17-226 27 50 28 11 10 9
PIH1D1-227 5 6 3 4 8 9
PIH1D1-228 5.65318 8 13 8 2 13
PIH1D1-229 2 3 1 2 0 1
PIH1D1-230 0 0 0 0 0 1
PIH1D1-231 1 0 2 2 1 2
PIH1D1-232 169 173 157 21 1.22711 1.01678
PIH1D1-233 8 5 6 2 7 8
PIH1D1-234 2 2 1 0 0 0
FAM83A-210 35 55 44 3.63213 3 6.82873
GEMIN6-204 1 1 0 1 0 0
GEMIN6-205 3 3 0 2 2 2
WLS-215 0 1 1 0 2 2
WLS-216 4 6 5 4 0 9
NEDD4-216 1 2 1 0 0 0
NEDD4-217 0 1 1 0 0 0
NEDD4-218 0 0 0 1 0 0
EMC1-229 0 1 0 0 0 0
EMC1-230 2.29847 5.01331 6 1.03258 0 3
EMC1-231 0 0.49334 0 0 1 0.47263
CACUL1-209 0 1 0 0 0 0
TCEA1-212 2 6 3 3 0 3
TCEA1-213 0 1 1 0 0 0
TCEA1-214 0 0 0 0 0 1
TCEA1-216 0 3 0 0 0 0
PDLIM7-219 19 25 24 9.99999 15 13
PDLIM7-221 10 9 13 1 8 6
PDLIM7-222 3 4 3 2 2 1
PDLIM7-223 0 0 1 0 0 0
PDLIM7-224 4.65383 3.82412 9.5972 0.97919 2 8
PDLIM7-225 1 0 0 0 0 0
PDLIM7-228 2 2 1.5 1 1 2
PDLIM7-229 0 0 1 0 0 0
ERLN-203 0 0 0 3 6 1
TEN1-206 0.99843 0 0 0 0 0
TEN1-207 1 0 0 0 0 0
TEN1-208 5 5 3 1 6 2
CAP1-221 0 3 2 1 0.90302 0
CAP1-223 0 1 0 0 0 0
CAP1-224 1 1 0 0 0 1
CAP1-226 0 2 0 0 0 0
CAP1-227 0.0108 0.0027 6 1 3 0
CAP1-229 1 1.65864 1 0 0 1
CAP1-231 0 0 0 0 1.99997 0
CAP1-235 0.99909 0 1.52765 0 0 0
CAP1-238 0 0.75774 0 0 0.64956 1.26065
CAP1-239 1.99999 0 4 2 0 3.54109
CAP1-240 0 1 0 0.85568 0 0
TSC1-261 0 0 0 0 2 0
NDE1-223 1 1 0 0 0 0
NDE1-224 18 1e-05 0 0 2 4
NDE1-225 0 1 0 0 0 0
NDE1-226 0 4 0 0 3 1
NDE1-229 2 0 6 1 0 0
ZNF343-212 0 0 1.5 0 0.5 0
ZNF343-214 0 1 0 0 0 0
ZNF229-206 9 4 3 3 1 6
ZNF285-208 1 0 0 1 0 0
ZNF285-209 0 0 0 0 0 1
ZNF180-213 1 0 0.92377 0 0 0
ZNF180-214 2 0 0 0 0 0
ZNF180-215 0 1 0 0 0 0
ZNF180-218 1.0198 1.46995 1.21663 0 0 0.58088
TMX1-206 1 0 0 0 0 0
BUD13-204 5 5 4 3 1 2.9761
PNN-208 4 7 3 8 5 5
PNN-209 16 0 18 9 6 0
MACIR-211 0 1 0 0 0 0
MACIR-212 1 0 0 0 0 0
DGCR6L-205 0 3.03203 0.52482 0 0 1
DGCR6L-206 0 1 0 1 1 0
DGCR6L-207 1 1 0 0 1 0
DGCR6L-209 2 0 0 0 4 0
OIP5-203 0.01985 0 0 0 0 0
TFPT-206 0 9 0 0 0 0
COX17-213 2 8 7 5 6 4
SLC30A6-212 0 2 1 0 0 1
BFAR-218 0 2 0 1 1 0
BFAR-220 0 2 1 0 0 0
SNRPB2-210 8 7 11 3 2 5
SNRPB2-211 6 5 10 1 3 8
SNRPB2-212 1 9 10 3 3 4
SNRPB2-213 2 3 1 0 0 1
SNRPB2-216 1 2 4 4 0 1
SNRPB2-220 3 1 0 0 0 0
RAVER1-216 0 1 0 0 0 0
C4orf33-215 17 12 13.92304 8 8 12
C4orf33-216 1 1 6 0 0 2
C4orf33-217 4 0 0 0 0 0
UGDH-223 0 1e-05 0 0 0 0
ARHGAP19-211 0 0 2 0 0 0
GSTK1-220 0 2 0 0 0 0
CDCA7-218 0 1 0 1.72569 1 0
COPG1-217 0 1 0 0 0 0
COPG1-219 0 0 1 1 0 0
COPG1-220 0 0 0 1 0 0
ORC3-219 2 1 1 0 0 0
TEX10-210 1 0 0 1 0 2
TEX10-211 1.5 0 0 0 0 1
TEX10-212 0 2 2 0 0 0
TEX10-214 0 0 1 0 0 0
TEX10-218 1 0 0 1 0 1
TEX10-219 0 0 0 1 0 0
TNFRSF21-203 0 0 0 2 0 0
ARPC5L-205 0 1 0 0 0 0
TSR3-204 0 0 0 1 0 0
RRP36-204 5 3 3 2 1 3
RRP36-205 4 2 3 0 1 0
ASF1B-207 2 9 3 4 2 7
DCTN5-210 1 0 1 2 0 0
ZNF223-208 1 1 0 1 0 0
SCNM1-211 1 2 1 0 0 0
SCNM1-212 0 1 1 0 0 1
GNL1-207 0 1 0 0 1 2
GNL1-208 0 0 0 0 1 0
GNL1-211 0 3 0 0 0 0
TMEM35B-202 2 2 6 4 2 2
PEF1-212 1 3 2 0 1 2
RPL27-211 191 178 171 367 170 263
RPL27-212 10 5 2 12 5 10
RPL27-214 1 1 0 4 4 3
RPL27-215 0 0 6 4 2 4
RPL27-216 0 0 0 1 0 1
RPLP1-208 11 8 6 6 9 2
RPLP1-209 98 99 81 106 63 124
RPLP1-210 42 32 30 52 44 29
RPLP1-211 4 2 3 12 4 4
RPLP1-212 422 5 4 507 6 334
CYP27C1-204 1 0 0 0 0 0
RPLP1-213 4 3 4 6 0 0
RPLP1-214 0.00014 2.98808 3.44604 4.48283 1.96177 4.65975
RPLP1-216 0 4 0 0 0 1
TOMM40L-215 0 1 0 0 0 0
SLC26A6-229 0 0.50347 0.90073 0 0 0
ZNF292-217 3 0 1 11 0 0
LAPTM4A-206 3 1 0 1 0 0
NIFK-209 0 0 0 1 0 0
GAS2L1-220 0.74948 3.08048 4.70159 0 0 0.89477
GAS2L1-222 0.98674 0 0.91887 0 0 0
KLF10-204 2.33333 8.72266 1.52881 2.25891 1.88415 4.81068
APOBEC3F-205 0 2 0 0 0 0
RAD54B-213 0 1 1 0 0 0
AASDH-213 0 1 0 0 0 0
GPATCH2-208 1 0 0 1 0 0
GPATCH2-209 0 1 0 0 0 0
GPATCH2-210 0 0 1 0 0 0
RIOK1-209 0 0 1 0 0 0
PLAAT3-212 0 0 2 0 0 0
PLAAT3-213 0 1 0 15 1 11
PLAAT3-214 0 0 0 1 1 3
PLAAT3-215 0 0 0 7 0 0
PLAAT3-216 0 2 0 13 0 1
ZNF613-215 0 0.0059 0 0 0 0
ZNF613-217 2 0 0 0 0 0
ZNF613-220 2 0 0 0 0 0
ZNF613-223 0 0.76231 0 0 0 0
DHX15-217 0 0 0 2 0 0
DHX15-219 1 0 0 0 0 0
DHX15-220 0 1 2 0 0 0
PKNOX1-222 2 2 2 1 1 3
PKNOX1-223 0 0 0 1 0 0
PKNOX1-224 0 0 1 0 0 0
PKNOX1-225 1 0 0 0 0 0
DYNC2LI1-218 0 0 2 0 0 0
KPNA1-214 2.68071 2.00278 1.11575 0.92006 0.51407 1.27189
DMC1-209 3 3 1 0 0 0
DMC1-210 1 0 1 0 0 0
DMC1-213 1 1 0 0 0 0
DMC1-214 0 1 2 0 0 0
IDH1-222 0 2 0 0 0 0
IDH1-228 1 0 0 0 0 0
IDH1-230 0 0 0 4e-05 0 0
IDH1-231 0 0 0 0 0 1
USP4-237 2 2 1 0 0 0
USP4-238 0 1 2 0 0 0
FAM72B-208 0 0 1 0 0 0
NXT2-206 7 1 7 0 2 0
GLT8D2-213 7.18573 4.9955 9.7144 1 0 1.68068
HIGD2B-202 0 4 0 0 0 0
SF3A2-212 1 2 1 0 0 0
ILF2-210 0 4 0 0 0 0
ILF2-213 0 4 1 0 0 0
ILF2-214 0 0 0 1 0 0
ILF2-217 0 0 2 0 0 0
RBM23-235 0 1 0 0 0 0
RBM23-236 0 0 0 1 0 0
MAD2L2-221 1 0 0 0 0 0
MAD2L2-240 0 3 0 4 1 1
MAD2L2-241 0 0 1 0.65674 0.76188 0.22018
MAD2L2-244 0 2 2.11844 0 0 0
SNRNP27-206 0 0 0 1 0 0
SNRNP27-207 17 17 13 15 9 13
LAS1L-235 0 1.99998 4 1 0 1
LAS1L-237 0 1e-05 0 0 0 0
DNAJB6-228 1 0 1 0 0 0
DNAJB6-230 0.4632 0 0 0 0 0
PRPF38B-206 1 3 2 0 0 0
NDUFA13-209 6 15 9 6 5 6
NDUFA13-211 0 0 0 1 0 0
NDUFA13-212 0 0 0 0 5 0
NDUFA13-213 39 31 1 0 0 0
ASCC1-231 1 1 0 0 0 0
NRDC-227 2 0 1 1 0 0
NRDC-228 6 7 3 5 2 6
NRDC-232 3 6 7 12 1 6
NRDC-233 0 0 1 1 0 0
SMAD7-209 1 0 0 0 0 0
NME1-215 286 274 253 332 207 296
NME1-216 4 6 4 4 4 6
NME1-217 1 0 0 4 0 2
NME1-218 54 47 59 51 40 57
NME1-219 14 7 7 15 6 8
NME1-220 0 0 0 0 2 1
NME1-221 7 3 2 1 3 0
NME1-222 3 4 3 0 3 1
CDKN1A-220 0 0.5 0 0 0 0
CDKN1A-221 0 0.5 0 0 0 0
CDKN1A-222 0 0.60851 1 0 0 0
CDKN1A-225 0 1 0 0 0 0
CDKN1A-226 1e-04 0 0.9999 0 0 0
MAT2B-235 1 0 0 0 0 0
PAM16-216 24 26 18 31 26 28
PAM16-217 4 2 2 8 1 5
PAM16-218 0 0 0 0 2 0
PAM16-219 17 13 18 11 21 17
PAM16-220 1 0 1 0 0 3
PAM16-221 0 0 1 1 2 2
PAM16-222 0 0 1 0 0 0
PAM16-223 0 0 0 0 1 0
PAM16-224 3 2 2 3 3 0
NUF2-213 5 5 5 0 0 0
NUF2-214 0 4 2 0 1 0
NUF2-215 2 0 0 0 0 0
CERS2-236 2 1 0 0 0 0
CSTF3-210 1 1 1 2 0 0
CSTF3-211 3 0 5 5 4 2
ATG7-235 0 0 1 0 0 0
SLC39A13-222 0 0 0 0 0 1
DDX1-229 1.56305 0.90718 0.80903 0.31424 0.44738 1.57248
MANBAL-217 0 0 0 1 0 0
MANBAL-218 0 0.99882 1 1 1 0.61259
MANBAL-219 0 0 0 0.66667 0 0
MANBAL-221 2 3 0 3 3 2
MANBAL-222 0 2 0.01676 0.5 0 0.91847
ANXA2-267 4 2 2 0 0 5
ANXA2-268 3 10 8 1 2 1
PRRT3-209 0 0 1 0 0 0
NDUFA9-217 10 10 9 24 10 25
NDUFA9-218 46 38 31 125 78 132
PIGT-283 1 6 4 1 6 2
PIGT-284 1 0 1 0 0 1
PIGT-285 0 0 1 0 0 0
PIGT-286 1 1 0 0 0 0
PTPN6-227 1 0 0 2 1 2
PRMT1-230 7 4 5 0.87705 0 0.93311
PRMT1-231 0 1e-05 0.72621 0 0 0
PRMT1-232 0 2 1 0 0 1
PRMT1-233 0 0 2.73388 0 0 0
PRMT1-234 1 0 0 0 0 0
PRMT1-235 0 1 0 0 2 0
PRMT1-236 11 0 0 0 0 0
PRMT1-237 1 1 0 1 0 0
PRMT1-240 0 2 0 0 0 0
PRMT1-241 0 2 0 0 1 0
PRMT1-242 0 0 0 2 0 0
PRMT1-245 1 0 0 0 0 1
HAS3-208 9.89587 5.14167 14.46754 1.70978 5.57796 4.53091
CDC42EP2-206 0 0 1 2 5 11
CDC42EP2-207 0 1 2 0 0 5
CDC42EP2-208 0 0 1 0 0 1
RAB5C-225 38 46 19 44 29 46
RAB5C-226 0 2 0 0 0 2
RAB5C-227 2 1 1 0 0 0
RAB5C-228 0 0 0 1 1 0
SNAPIN-205 4 1 1 3 0 0
DCAF12-207 1 2 3 4 3 4
BEX2-209 0 0 0 12 7 0.10181
BEX2-210 0 0 0 1 0 0
BEX2-212 0 0 0 0.4446 0.7966 0
DNAJC21-216 0 1 0 0 0 0
LDHA-231 291 299 246 111 42 86
LDHA-232 196 231 180 66 20 60
LDHA-233 31 29 11 7 5 7
LDHA-234 10 4 5 2 1 4
LDHA-235 7 10 11 3 4 2
LDHA-236 9 7 3 6 0 2
LDHA-237 3 2 1 4 0 3
LDHA-238 5 5 1 1 0 0
LDHA-239 5 2 2 0 0 0
LDHA-240 0 0 0 0 0 1
LDHA-241 8 13 10 0 0 0
LDHA-242 0 4 0 0 0 0
LDHA-244 1 0 0 0 0 0
DPM2-208 0 0 0 0 1 0
UQCRH-209 235 165 131 473 0.41096 4e-05
UQCRH-210 0 0.14512 0 3.52544 0.00056 2.17437
UQCRH-212 0 0 0 4e-05 0 0
UQCRH-213 10 13 12 14 4 5
UQCRH-214 0 0 0 3 2 3
DZIP1L-212 0 1 0 0 0 0
CCNI-220 1 1 1 1 0 0
CCNI-222 0 0 0 0 0 1e-05
CCNI-223 1 0 1 0 1 0
CISD2-207 0 0 2 0 0 0
CZIB-208 8 9 8 2 6 7
CZIB-209 0 1 1 4 1 1
CZIB-211 1 1 0 0 0 0
CZIB-212 0 1 0 0 0 0
BCAS4-207 16 9 10 5 2 2
BCAS4-208 10 6 9 13 0 14
BCAS4-209 0 0 0 3 0 0
BCAS4-210 0 0 2 1 2 1
BCAS4-211 1 0 0 0 0 1
BCAS4-212 2 0 2 0 0 0
BCAS4-213 0 1 3 2 0 0
MRPS26-204 3 0 0 1 1 0
GSTO2-208 0 2 0 0 0 0
GSTO2-210 3 4 7 0 0 3
METTL3-218 2 1 0 0 0 0
METTL3-219 0 2 1 0 0 0
METTL3-222 0 0 0 0 0 1
METTL3-224 0 0 2 0 0 0
DCPS-207 0 0 0.1452 0.30268 0 0.40049
DCPS-208 0 0 0 1 1 2
DCPS-209 1 2 0 3 3 7
DCPS-210 0 0 0 4 0 0
DCPS-211 0 0 0 1 0 0
RNF13-244 1 0 0 0 0 0
RNF13-246 2 0 0.97514 0 0 0
GJA1-206 0 1 1 0 0 0
ROGDI-225 18 13 13.99999 13 8.79156 13
ROGDI-226 5 10 8 4 14 6
ROGDI-227 0 3 6 1 1.66659 1.70049
ACBD3-203 0 0 1 0 0 0
KDF1-208 0 0 0 0 0 2
KDF1-209 0 1 0 1 2 1
THUMPD3-220 0 1 0 0 0 0
THUMPD3-224 1 4 3 0 0 0
THUMPD3-225 1 0 0 0 0 0
THUMPD3-226 0 0 1 0 0 0
RPS23-210 17 15 10 15 6 8
RPS23-211 135 122 94 169 116 135
ERH-207 9 10 13 2 1 4
ERH-208 0 4 1 0 0 0
GFPT1-214 0 0 2 1 0 1
YIPF6-211 18 20 15 9 4 4
YIPF6-213 0 1 0 0 0 0
GTF3C2-229 0 0 1 0 0 0
BTF3L4-211 2 8 8 25 7 9
BTF3L4-212 0 2 0 9 2 7
BTF3L4-214 0 3 0 0 0 0
KCTD15-223 0 0 0 1 1 0
UQCRC1-222 0 1 1 0 0 0
UQCRC1-223 14 11 4 12 3 8
GGCT-209 7 12 10 8 6 3
GGCT-210 19 10 9 2 0 8
TSPAN4-250 0 0 0 0 0.00012 2
TSPAN4-251 0 0 0 0 0 1
TSPAN4-253 1 0 0 0 0 0
TSPAN4-254 1 0 1 0 0 0
TSPAN4-256 0 0 1 0 0 0
TSPAN4-260 0 0 0 0.39718 0 0
ZNF449-206 0 1 0 0 0 0
FBXO25-215 0 3 0 0 0 1
FBXO25-216 0 0 0 1.22905 0 0
FBXO25-219 1 1 0 0 0 2
COPZ1-219 4 2 0 0 0 1
UST-205 0 0 0 0 2 0
ACBD4-241 0 0 0 0 0 2
HEXA-259 1 0 0 0 0 0
HEXA-260 0 0 0 0 3 0
ZHX3-226 1 0 0 0 0 0
GEN1-213 1 1 0 0 0 0
GEN1-214 0 3 0 0 0 0
SAR1A-219 1 0 5 0 0 0
SAR1A-220 3 1 0 0 0 1
SAR1A-221 0 0 0 0 1.88336 0
SAR1A-222 0 0 0 0 1 1
SAR1A-223 0 5 2 0 0 0
MAPRE1-216 0 1 0 0 0 0
MAPRE1-220 0 0 1 0 0 0
MAPRE1-222 2 0 0 0 1 0.66667
MAPRE1-225 0 0 0 1 0 0
MAPRE1-229 0 2 1 0 1 0
MAPRE1-230 0 0.96799 0.76534 0 0.71805 0
L1CAM-220 0 1 1 0 0 0
FYN-258 0 1 0 0 0 0
FYN-261 0 0 0 0 1 0
FYN-262 1 0 0 0 0 0
ZWILCH-216 0 1 0 0 0 0
AP1G2-252 0 0 0 0 0 1
AP1G2-254 0 0.96556 0 0 0 0
AFMID-239 1 0 0 1 0 0
TM2D2-211 16 17 16 5 4 5
TM2D2-212 1 0 0 0 0 0
CEP55-206 0 1 0 0 0 0
APBB2-234 0 0 0 0.5 0 0
APBB2-235 0 1 0 0 0 0
TRAF3IP2-224 0 2 1 4 1 3
CDK5RAP1-226 2 2 2 6 0 2
CDK5RAP1-227 3 3 2 3 3 2
CDK5RAP1-229 0 0 1 2 0 0
CDK5RAP1-230 0 0 2 0 0 0
CDK5RAP1-232 0 0 0 1 0 0
CDK5RAP1-233 0 0 0 11.26292 11.89845 4.76249
MRPL57-205 0 1 0 0 3 0
MRPL57-206 0 0 0 0 0 0.02646
AAMP-214 9 5 5 5 3 7
AAMP-215 0 0 0 1 0 0
CTDNEP1-213 1 0 2 0 1 5
ENTPD4-215 1 0 0 0 0 0
TAF11-213 3 7 8 4 0 6
RPL19-216 24 28 29 54 31 40
RPL19-217 44 43 30 81 47 75
RPL19-218 0 0 1 0 0 0
RPL19-220 9 3 2 24 4 14
RPL19-221 3 0 0 0 0 1
RPL19-222 0 0 0 1 0 0
RPL19-223 2 1 0 0 0 1
RPL19-224 5 3 1 4 5 7
TMEM168-217 0 0 1 0 0 0
ORC6-210 1 0 0 0 4 2
ORC6-212 9 8 7 3 0 6
METTL22-227 2 3 4 2 1 4
METTL22-228 0 1 0 2 0 5
KRCC1-211 3 1 1 0 0 0
KRCC1-212 0 0 0 0 0.29572 0
RPS16-211 12 5 10 46 36 21
RPS16-212 14.68254 13.88901 26.99999 195.63943 127.5004 121.99998
RPS16-213 26 22 30 143 96 84
RPS16-214 11 7 7 83 43 47
RPS16-215 36 26 8 16 24 13
RPS16-216 0 0 0 9 0 8
RPS16-217 0 0 1 0 0 0
RPS16-218 0 2 1 6 11 5
RPS16-219 0 0 1 6 10 0
RPS16-220 0 0 2e-05 0.18061 0.10502 1e-05
RPS16-221 0 0 0 4 5 2
RPS16-222 0 0 0 2 3 0
LZTS2-222 1 0 0 0 0 0
RPL4-220 2 1 2 6 3 8
RPL4-221 26 25 16 18 11 13
RPL4-222 4 3 0 6 0 3
RPL4-223 1 4 0 0 0 0
RPL4-224 1 0 0 0 0 0
RPL4-225 3 0 3 6 1 7
RPL4-227 1 0 2 0 0 1
RPL4-228 1 1 1 0 0 0
KARS1-217 0 0 0 3 0 0
KARS1-218 11 18 21 28 6 17
KARS1-219 2 0 0 0 0 0
SGCB-205 0 0 3 0 0 0
APRT-214 242.90639 258.08174 178.09678 422.47332 334.78125 470.41331
APRT-215 26 40 24 53 56 76
APRT-216 1 0 0 1 1 2
APRT-217 33 28 28 44 31 68
APRT-218 0 0 0 0 1 1
APRT-219 0 1 0 0 0 0
ZNF561-225 0 1 1 0 0 0
ZNF561-226 1 0 0 0 0 0
LYRM4-210 2 2 1 0 1 0
KPNA3-205 3 1 0 0 0 1
UBXN2A-216 0 0 0.73901 0 0 0
UBXN2A-217 0 0 1 0 0 0
UBXN2A-218 1 1 0 0 0 0
UBXN2A-219 0 1 0 0 0 0
UBXN2A-222 2 1 0 0 0 0
GNG3-206 1 4 1 0 0 0
C9orf78-211 0 3 2 0 0 0
C9orf78-212 18 18 16.67359 15 5 7
C9orf78-215 3 1 1 0 0 1
C9orf78-218 0 0 3 1 0 0
ELOVL1-236 0 1 0 3 4 7
ELOVL1-239 0 0 2 0 0 0
ELOVL1-240 0 0.03915 0 0 0 0
GTF2F2-210 14 14 19 18 15 20
MRPS7-211 0 0 0 2 0 1
GPR19-211 0 0 0 1 2 3
ZFAND2B-223 0 0 0 1 0 0
ZFAND2B-224 0 0 0 0 4 1
PNRC2-209 0 2 1 0 0 4
PNRC2-210 2 1 2 0 0 0
PNRC2-211 1 2 0 2 0 0
EAPP-206 3 3 2 4 0 2
LRP10-212 5 2 1 0 3 4
GUSB-241 6 6 0 2 1 0
CCDC24-230 0 1 0 0 0 0
CCDC24-235 1 7 2 2 1 3
TOMM34-204 2 2 0 0 0 1
TOMM34-205 0 0 0 1 0 1
NSUN4-212 1 0 0 0 0 1
BRAF-225 1 0 0 0 0 0
MRI1-208 0 1 1 0 0 1
SPATA20-240 0 0 0 0 0 3
MYL6B-221 52 55.90015 61.77871 10.18466 29.015 48.39344
MYL6B-222 36 26.98482 10.9962 26.28167 18.93122 16.29137
MYL6B-223 1 4 0 8 7 10
MYL6B-224 0 0.42716 1.26868 0 0 2.52749
MYL6B-225 0 0 0 1 1 0
MYL6B-226 2 0 0 4 1 0.19649
