R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
PSMD5-201 125 98 116 88 21 62
NANS-201 2088.76616 0 0 0 0 0
MAPK13-201 213 232 159 178 116 237
TMEM14A-201 1682 1595 1415 832 415 707
BAG6-234 2.5 2 2.5 2.5 0.5 5
ZNF184-201 10 8 6 0 2 4
VCL-201 1e-05 0 0 0 0 0
SIRT1-201 1 0 0 1 1 0
TGFBR3-201 1 0 0 0 0 0
TMED1-201 1356 1313 1235 1420 837 1592
MZF1-201 0.43981 1.5871 0 0.74123 1.02457 0
OCEL1-201 46 49 42 194 159 223
PSMD8-201 3.14223 1.0788 7.02176 5.61467 5174.00278 7148.27632
BCL7C-201 125.88136 183 132 72 113 103
EFNA2-201 0 1 0 1 0 0
ATP5F1D-201 808 707 499 642 723 1031
SMIM24-201 97 72 94 1 0 0
MARCHF2-201 52 72 40 23 20 19.98051
NDUFB7-201 8082 7989 7698 11584 11294 11123
TECR-201 2846.86108 2728.84421 2159.5865 4471.32366 3055.05756 4755.89389
TIMM13-201 8368 7892 7803 9040 6516 7559
CDC34-201 54 56 50 36 85 45
MISP-201 48 64 40 44 59 101
POLR2E-201 6 10 4 20 7 15
GADD45B-201 470 588 487 164 70 138
MAPK12-201 12 10 5 3 4 6
SNAP29-201 571.18558 711.32904 530.77897 314.34687 227.99999 281
THAP7-201 151 144 160 167 112 173
MMP11-201 23 32 29 6 5 7
MIF-201 124849 106015 107158 127929 103922 116193
DDTL-201 24 33 17 0 0 0
TBC1D10A-201 75.5 108.5 76 32.5 37.15305 98
SF3A1-201 113 164 128 108 73 193
SNRPD3-201 6556.99641 5431.74364 5402.6029 3172.94616 2209.39767 2613.53487
MAPK1-201 11 12 2 1 0 2
TCN2-201 8 4 6 301 143 510
SLC25A1-201 104.35525 0 53.06474 48.7713 31.07043 151.02558
LGALS2-201 0 0 0 152 133 159
PDXP-201 3 4 1 2 2 4
ASPHD2-201 0 0 1 0 0 0
LGALS1-201 123768 104433 105436 30786 28427 27026
PIK3IP1-201 138 125 143 14 11 40
SRRD-201 350 495 329 176 163 182
PATZ1-201 24 39 27 35 26 16
ANKRD54-201 36 62 36 17 19 25
SNU13-201 4277.36562 3915.33799 4018.16068 22.52826 5.07764 26.1271
MICALL1-201 0 0 0 0 0 1
CENPM-201 1021 923 735 1040 812 894
KDELR3-201 450 516 422 105 51 91
DMC1-201 1 0 0 0 0 0
HSCB-201 656 709 707 353 140 226
CBY1-201 638 612 613 595 404 557
TOMM22-201 3799 3547 3295 2926 1664 2109
RSPH14-201 6 2 6 5 0 4
XBP1-201 1002 1510 1216 541 470 660
RTCB-201 1342.41337 1564.96688 1381.35999 754.52505 524.71302 953.38044
JOSD1-201 20 19 17 8.68294 9 4.23209
GTPBP1-201 11 11 5 5 4 5
DNAL4-201 512 599 502 469 213 451
MIOX-201 5 2 6.99999 0 0 0
LMF2-201 0 1 0 0 0 0
CBX6-201 1 3 1 1 0 1
RHBDD3-201 65 109 84 31 27 0
APOBEC3D-201 17 12 13 8 2 4
HMGXB4-201 1 3 0 0 0 0
BIK-201 81 77 77 514 166.5 495
HMOX1-201 1987 1803 1281 130 96 166
NIPSNAP1-201 851.20466 897.9122 517.85841 705.93241 305 928.17381
MCM5-201 294.96453 264.97536 215.70476 264.23564 137.48426 398.68624
ARSA-201 47 43 42 31 54 69
RASD2-201 1 0 2 0 4 0
TTLL12-201 104 178 81 64 37 81
RPL3-201 51015 52058 45397 73640 33996 60335
TAB1-201 29 40 32 20 17 49
PNPLA3-201 5.38266 8 9 3.28909 3 5.29954
MYH9-201 0.94473 3 0.47512 0.00063 0 3
TXN2-201 2113 1912 1774 2532 1863 2520
EIF3D-201 2937.0144 2961.02493 2432.08847 2658.27278 1488.33664 3283.42752
UPK3A-201 2 4 1 2 9 10
ST13-201 97.42394 118.2598 91.5822 190.92982 18.0423 141.1643
IL2RB-201 0 0 0 0 0 0.5
RBX1-201 6294 5361 5527 5107 4253 4163
L3MBTL2-201 0 36 20.5 26.5 11.5 38.5
PHF5A-201 1120 1057 1091 940 545 887
ACO2-201 145.82401 215.86703 108.26651 251.21734 15.82192 162.07941
PMM1-201 869.20375 848 801.71794 936 675.65534 955
CERK-201 4 6 1 1 0 0
ZBED4-201 7.45155 9.31142 4.52144 11.30285 12.46838 7.99761
HDAC10-201 1.94652 3.97406 2 5 4 17
RIPK3-201 4 5 0 7 3 12
PAPOLA-201 18.5 46.74192 42 5 0.5 4
HSP90AA1-201 1007 1546 1205 241 110 341
MARK3-201 20 35 21 12 0 12
SNAPC1-201 334 459 349 67 33 71
SUPT16H-201 49 86 68 31 5 32
PRMT5-201 0 0 0 1 1 0
PYGL-201 512.72366 312.00971 216.55956 217.7382 65.21224 343.72464
GNPNAT1-201 471 572 496 416 215 311
CNIH1-201 3967 4026 3802 3586 1580 3041
CGRRF1-201 244 263 251 235 88 171
ATP6V1D-201 2793 2617.65468 2455.99994 882 563 890
PLEK2-201 664 1073 671 289 264 391
PIGH-201 332.35784 338.24357 502.01905 181.75904 102 109.26735
PSMA3-201 9129 7802 7927 2546 1705 2928
VTI1B-201 155 208 159 41 19 44
TIMM9-201 2 1 3 1 0 1
GSTZ1-201 1092 1024 1013 916 773 949
TMED8-201 12 12 7 2 4 3
SAMD15-201 23 14 15 5 4 2
AHSA1-201 4133.46394 4500.99991 4140.99993 1903 1103.64341 1811.99996
SPTLC2-201 195 258 177 38 47 85
RIN3-201 2 3 1 2 1 3
