"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"8834","TRMT10B",611.393633670427,0.0593508956608247,0.179509282334742,0.738743567186824,0.789250448705883
"8835","VCP",2342.60067090496,0.6800088753024,0.220371246190746,0.00155296856341826,0.0032182572055971
"8836","PIGO",330.166936133891,0.576033464989342,0.18584541704649,0.00159824961453066,0.00330546313850297
"8837","STOML2",12633.888859615,0.967950174476743,0.164032079949779,2.23638911822978e-09,1.09215250618303e-08
"8838","BRWD3",155.45822854282,1.18404260499894,0.242099702480071,4.75688854907847e-07,1.70464581984231e-06
"8839","MELK",331.197405948153,-0.272102878696078,0.165189539924289,0.0947907556212836,0.134967124687487
"8840","ARMC3",66.2836492707966,2.97322138770822,0.342635353671694,5.66297343402055e-19,7.08846808606642e-18
"8841","OTUD1",140.704951807928,-2.08121396905644,0.231785115365756,6.12298238747643e-20,8.22558352628336e-19
"8842","ARHGAP12",238.995611628238,1.10502584637464,0.195708171407507,8.37497670617159e-09,3.79357645538956e-08
"8843","HECTD2",19.3599559192148,-0.874888038360159,0.512433202511346,0.0498830489055867,0.0761613847428977
"8844","FBXO33",146.638422185797,0.0958224135634503,0.227181937062641,0.666688831866546,0.72699048297376
"8845","INTS6L",31.3613436817573,0.313782799199288,0.379804541111467,0.373272999975924,0.446449065845671
"8846","CLDN2",10.4325025037971,1.05669799952693,0.897953994700662,0.082769997062271,0.119626416225419
"8847","SPTSSA",3715.57740689715,0.551176663068793,0.225567550880754,0.0125776618807949,0.0219237806158402
"8848","WRN",144.311620081861,-0.404782505182887,0.220494370833846,0.0596032895774247,0.0893275629609128
"8849","MARCHF8",117.37223342837,-0.836935022551812,0.255960396711246,0.000706851216270555,0.00155705598448285
"8850","CFL2",1617.88163838594,0.0823925263114822,0.198203736757813,0.673814165765387,0.732948957611233
"8851","SUGT1",1137.49018466751,0.386222899163997,0.163932060766573,0.0182581805235043,0.0307573005866294
"8852","GTF2A1",3349.69947845915,-1.48594540024617,0.213372761158683,1.10316095798267e-12,7.83915283212376e-12
"8853","ZCCHC24",68.9618401089453,-0.771505667582275,0.298232868256992,0.00668740733052185,0.0122862251873212
"8854","PGM2L1",635.562681104031,-1.19320310859722,0.165695312279359,2.80631293693978e-13,2.12580100398754e-12
"8855","SLC16A9",52.0940621110658,-1.08906393915047,0.344159874516425,0.000764548521065628,0.00167643769667692
"8856","INPPL1",3660.42152039602,1.8840239661944,0.16121334368583,3.76769598267352e-32,1.11368326885441e-30
"8857","PHOX2A",19.3222960741198,2.1719164151324,0.655664272895617,0.000151965133682797,0.00037423082544445
"8858","GJB2",92.1049575011903,1.66981687923761,0.273105412581587,2.70784170559476e-10,1.48247724283705e-09
"8859","CRYL1",432.325905843945,0.83637349458065,0.157485480790877,7.40486274397171e-08,2.95096936194787e-07
"8860","REEP3",1349.41652557915,-0.988004213517193,0.153977719080243,7.70540216502729e-11,4.49699459687751e-10
"8861","SKA3",216.152028503349,-0.362237383549273,0.204567873368495,0.0702283267591553,0.103326189602844
"8862","MICU2",295.576119390978,0.356253183359102,0.211577614330571,0.0851690873860506,0.122642236106091
"8863","DDIAS",58.0676755540111,-0.836562270275758,0.298980705690381,0.0033407606985956,0.00651197837236427
"8864","PCF11",223.065029027581,-0.359126519199287,0.239244381832957,0.121584540560602,0.168693607916226
"8865","LRR1",825.387522703215,-1.18201879330393,0.163282210599549,1.63958670903462e-13,1.27144086678081e-12
"8866","RPL36AL",25174.2642367967,0.00835701088036759,0.123230000212241,0.946861079943473,0.960266750170544
"8867","DNAAF2",387.5279147181,-0.102417464828777,0.178253204624135,0.558235649436755,0.629158163431904
"8868","DEPP1",365.373559069407,-1.5987885195894,0.242154091008647,1.15585443964546e-11,7.36079009958515e-11
"8869","ZNF22-AS1",20.0967068261294,-0.674157000074533,0.484404021430077,0.113777506887373,0.158759500048235
"8870","ZNF22",288.210282120603,-0.698506067549594,0.199066775883346,0.000338227900943943,0.000786819842577547
"8871","KLHDC2",838.86952158022,0.623075854529159,0.214700918438365,0.00295944699462777,0.00582364810141962
"8872","EML5",8.02323761338115,-4.48608052005223,1.43410039370508,0.000131319791663617,0.000326254879871114
"8873","NEMF",799.94305886455,-0.546609098220755,0.179787876766112,0.00196444577395204,0.00400043340997683
"8874","RPUSD4",806.003143777945,1.68750074015117,0.168234514477579,3.19936869113387e-24,5.92396314159287e-23
"8875","ARF6",1180.24865346995,-0.496757365995627,0.138092276890473,0.000277283051010174,0.000653715927576268
"8876","TTC8",537.925946159374,-1.52147443207917,0.198269732874121,5.4692341113047e-15,4.9015825526291e-14
"8877","TMEM63C",59.3022993308753,0.465755886457684,0.320643557931659,0.125313568713722,0.173267306315198
"8878","NOXRED1",19.1224983726416,0.161474104386376,0.536066769499861,0.725814477368086,0.778445942475597
"8879","AKR1E2",81.022005819522,-3.67021420145898,0.374581315129096,2.15054989422728e-23,3.7652848148081e-22
"8880","KBTBD6",42.7300114273565,0.69330379757671,0.376845839651902,0.0473818353827299,0.0727955603175608
"8881","FAAH2",265.576569514665,1.43541364396447,0.189140676216012,1.1867338861821e-14,1.03016479363539e-13
"8882","NUDT5",2446.25050717932,-1.32987715419192,0.138092343010399,2.30186725875833e-22,3.74927375001243e-21
"8883","BEND7",27.212305545897,-0.366720232277755,0.440654275588677,0.353683815148761,0.426397557734935
"8884","ATP5F1C",4941.92093172312,-0.689197867816471,0.214189159638247,0.000968028675279313,0.00208648131009302
"8885","PRPF18",252.868982078658,-1.86018813005198,0.210240702790635,2.11830027272245e-19,2.73345690024481e-18
"8886","TAF3",219.852752434561,-1.19967309254455,0.207480418895301,3.47112033372471e-09,1.65559365224823e-08
"8887","VDAC2",7054.96224715673,0.12439876292115,0.162032842098602,0.388072934530609,0.461227291148859
"8888","COMTD1",721.274303893595,0.415896613059648,0.153650608686588,0.00616938116844713,0.011413558694798
"8889","PDZD8",273.764066609384,-1.38404153129109,0.194764147428249,4.64744331721099e-13,3.43949358924962e-12
"8890","ZNF503",23.5644811809298,1.28712893213564,0.496937222496718,0.00356038571125592,0.00690647265811622
"8891","ABRAXAS2",383.901187952382,-0.923994660565045,0.189883850366193,7.0457681513889e-07,2.45844073790773e-06
"8892","QSOX2",149.221711993707,0.70836183963901,0.235752537747548,0.00197085310525828,0.00401140038337698
"8893","FAM204A",1327.85822344367,-1.46636897883811,0.142999339411128,3.9184694740761e-25,7.72166670358349e-24
"8894","NSD1",323.089405265318,-0.0832706678756093,0.195287282606298,0.662848122615878,0.723525949757068
"8895","PRDX3",6234.82977781173,-0.623052910583112,0.211697414190281,0.00256421366047439,0.00510734945343321
"8896","ENOX2",204.857048077536,-0.119688488094038,0.204953924479811,0.550204960800886,0.621231822219351
"8897","GHITM",7097.05426105916,-1.05385145708845,0.187608312837294,1.03636835561751e-08,4.64401865655361e-08
"8898","SNAPC4",158.755545884449,0.953720933662167,0.340719112188555,0.0029278485697163,0.00576667173886823
"8899","PMPCA",1860.93840301489,1.04353232715681,0.172884759302574,8.75360321348477e-10,4.49638760196455e-09
"8900","ENTR1",1040.97942100015,0.582842546532129,0.219910503255583,0.00658127455913088,0.0121093724357422
"8901","AK8",216.170350395886,0.403356611339899,0.199079616514201,0.038719843949879,0.0607526082983672
"8902","SPACA9",821.852197800484,0.985345876403149,0.143017171442713,3.33220839182048e-12,2.25521565883657e-11
"8903","TSC1",240.196239010779,0.287695944920379,0.182819507421087,0.109865460455734,0.153946554748675
"8904","HPRT1",2647.4318693108,0.0561344153280684,0.161749623638927,0.726180629478976,0.778625906297944
"8905","BORCS5",263.482850292845,0.619853711026241,0.189629388410123,0.000864598715115136,0.00187760179613827
"8906","DIPK1B",107.998465402238,2.99388405416368,0.319771179045303,9.64729440291109e-22,1.49563544428069e-20
"8907","ZMYND19",149.29715872804,0.985888429507381,0.309483793687233,0.000809858965560001,0.00176808697631214
"8908","STOX1",14.6691011386174,-0.675443506507377,0.585071946594284,0.16210882930441,0.216900265373076
