"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp"
"5063","MEIG1-204",6.57686618927959,-5.90240655447238,2.64421249621924,5.39152343834275e-05,0.000238470819431656,"Downregulated"
"5064","PCDHA7-201",9.68882418834588,-4.76241859056512,1.40944762640126,5.3980317909825e-05,0.000238711540140723,"Downregulated"
"5065","SDF4-209",6.53400443431275,-5.89372645358228,2.64131633962493,5.40414105364008e-05,0.000238934520740801,"Downregulated"
"5066","ENST00000821521",6.6543488153395,-5.92956686921775,2.65529954801817,5.41089829439272e-05,0.000239138852189916,"Downregulated"
"5067","TMEM165-201",121.120068411571,-1.18194175293089,0.306585913137229,5.41047456774863e-05,0.000239138852189916,"Downregulated"
"5068","LINC00705-211",33.1401121141709,-1.57855469141723,0.420510169439752,5.41431301780779e-05,0.000239242552724522,"Downregulated"
"5069","NDUFB11-204",4236.38474692938,0.894448413849201,0.227670764540392,5.4244536926208e-05,0.000239643353703985,"Upregulated"
"5070","NAIF1-201",19.7706652646302,2.09608704927794,0.580753218796678,5.42895061187619e-05,0.00023979471400859,"Upregulated"
"5071","LETMD1-206",34.0201460193067,1.47931019033925,0.392849732469167,5.44118903122655e-05,0.000240287886344483,"Upregulated"
"5072","SSBP2-201",50.3960085865998,-2.25104039975234,0.628015666521559,5.45597082371406e-05,0.0002408660724967,"Downregulated"
"5073","STOML2-209",61.7112865941963,1.11492015404182,0.28860464681163,5.45643290959971e-05,0.0002408660724967,"Upregulated"
"5074","DLD-205",6.64471176878414,-5.92659405993452,2.65535872988992,5.46662053816754e-05,0.000241212058188246,"Downregulated"
"5075","ENST00000686022",6.42996144025301,-5.86833923936438,2.63373315171271,5.46750204234857e-05,0.000241212058188246,"Downregulated"
"5076","PLOD2-216",25.8608623265131,-3.59828436391711,1.06020861231619,5.46547904175749e-05,0.000241212058188246,"Downregulated"
"5077","HACD1-207",6.65209503732002,-5.91848490938047,2.65169634309258,5.48606188623515e-05,0.000241983198503742,"Downregulated"
"5078","PPIB-207",82.8136371773438,1.23337276577036,0.322406509449159,5.50204531340403e-05,0.00024264041502239,"Upregulated"
"5079","THEMIS2-203",22.382022691467,1.72101427319558,0.465148759514783,5.53079897989456e-05,0.000243860429918801,"Upregulated"
"5080","ENST00000691590",17.7624727999681,-2.24905601621082,0.624973257807601,5.54525453359876e-05,0.000244449665404352,"Downregulated"
"5081","AKR7A2-201",909.631610727742,0.750148217020864,0.189655152261062,5.55766421144739e-05,0.000244948499018211,"Upregulated"
"5082","NAXE-217",63.5264785046219,1.07422132731347,0.27715807463608,5.56826616814881e-05,0.000245367478491784,"Upregulated"
"5083","MRPS12-207",47.3065353205555,1.54443370610024,0.413307664491575,5.57245548531078e-05,0.000245503773633779,"Upregulated"
"5084","EMC1-AS1-204",9.68394178898236,3.13360353905804,0.8929459207744,5.58554795716834e-05,0.00024603218126048,"Upregulated"
"5085","CDK20-211",11.6647439886926,2.70952300730028,0.768363784576219,5.59685981903353e-05,0.00024648196418375,"Upregulated"
"5086","PTER-205",13.694753161068,-2.85469317196392,0.791871976135192,5.59931851072168e-05,0.000246541759199963,"Downregulated"
"5087","TIMM9-218",11.5230487669034,-3.73769685728456,1.01918585976304,5.60371148234253e-05,0.000246686681611124,"Downregulated"
"5088","ENST00000786965",26.1347428624226,-1.73189396764773,0.466453401744414,5.61621869217078e-05,0.000247188681982061,"Downregulated"
"5089","TTPAL-201",27.4842293832771,-1.79334035312606,0.48376679676554,5.63217588308476e-05,0.000247842300502653,"Downregulated"
"5090","WWOX-201",46.2240479881118,1.37789172158964,0.364783101130123,5.65550324037919e-05,0.000248819920560023,"Upregulated"
"5091","TIMMDC1-206",23.1559693723727,-2.12252937975371,0.582107144941816,5.66542714736718e-05,0.000249207573243254,"Downregulated"
"5092","BCL2L13-201",73.4984569252084,-1.25475896961719,0.327599294641476,5.68151847198593e-05,0.000249866309233411,"Downregulated"
"5093","DUSP28-202",51.6269957949341,1.38485424599957,0.367335523537891,5.72103713480411e-05,0.000251554890235231,"Upregulated"
"5094","ACP1-202",1014.78937236798,-0.602091255166799,0.150871824883053,5.72567798057183e-05,0.000251709526299422,"Downregulated"
"5095","NIT2-201",1063.4259865041,0.530614688705402,0.13308832270694,5.74814172476349e-05,0.000252647469645444,"Upregulated"
"5096","RRAGAP1-AS1-211",6.66637832712801,-5.91190570747973,2.65599368773333,5.79688086320903e-05,0.000254739697901694,"Downregulated"
"5097","MDK-201",22.5048778052682,2.15363634978675,0.604053969841017,5.80052104863771e-05,0.000254849653449466,"Upregulated"
"5098","OXA1L-218",70.3658706791679,1.24051486678187,0.324403094483393,5.8137819844105e-05,0.000255382176851488,"Upregulated"
"5099","HAUS4-201",133.699616447201,0.884106500863867,0.225861917868182,5.84039943804289e-05,0.000256501088479177,"Upregulated"
"5100","BUD23-212",14.9411716187561,-2.70491578475973,0.763510107792017,5.86308904931226e-05,0.000257447090529998,"Downregulated"
"5101","PSMC1-201",1568.64792001768,-0.588370627125783,0.148174677928272,5.87238416043393e-05,0.000257804687098133,"Downregulated"
"5102","XRCC4-212",12.103440995414,-3.31141938353966,0.936454494907584,5.88144971151906e-05,0.000258152067502465,"Downregulated"
"5103","CBY1-212",62.195481503481,1.15247022001951,0.300253060175702,5.90850304575124e-05,0.000259288687451604,"Upregulated"
"5104","JPT1-207",41.1067185867475,2.75354666942165,0.802831341002042,5.91990585560287e-05,0.000259738189126902,"Upregulated"
"5105","CHI3L1-211",6.89863221801417,-5.95863715492725,2.67316361919144,5.93422480458393e-05,0.000260315436383648,"Downregulated"
"5106","ANAPC5-201",249.572733090321,0.847043626285816,0.216028134694372,5.93653595955528e-05,0.000260365817231259,"Upregulated"
"5107","POLR1F-201",1393.15687981376,-0.899242125851954,0.230737846737011,5.95426444295144e-05,0.000261092222313402,"Downregulated"
"5108","DSP-AS1-202",20.7278269763963,-2.36118532239044,0.675483331482781,5.95737533065554e-05,0.000261177492472005,"Downregulated"
"5109","CAMTA1-202",108.323231789689,-0.964737774668017,0.248433862020912,5.96460893605236e-05,0.000261443438077817,"Downregulated"
"5110","CCDC13-AS2-201",10.4615217516261,-4.85079355984425,1.45577576135416,5.97582322171961e-05,0.000261883728428941,"Downregulated"
"5111","RP9P-203",21.7538714912143,-1.97953200344319,0.54245910731471,5.97991739760205e-05,0.000262011876740169,"Downregulated"
"5112","CKB-218",19.299593172661,2.1774051438574,0.611338562560086,5.99756563733878e-05,0.000262733734120823,"Upregulated"
"5113","NEAT1-202",390.208307521899,3.32339186163585,0.99635979907096,6.01534457246805e-05,0.000263461033357813,"Upregulated"
"5114","RABEPK-204",195.710651394496,0.745011006775857,0.189179977102286,6.03529922618362e-05,0.000264283322000696,"Upregulated"
"5115","LINC02454-202",45.0652025301599,-1.39985887184504,0.370541240044409,6.04467133430777e-05,0.000264606319201463,"Downregulated"
"5116","FAM177A1-201",248.075886133211,-0.801331718097326,0.204423799159353,6.04503853279756e-05,0.000264606319201463,"Downregulated"
"5117","MRPS17-206",28.6776357930106,1.8227923358755,0.50111010009654,6.0465574378864e-05,0.000264621081227336,"Upregulated"
"5118","ENST00000692713",28.1566349001095,-1.73996229201263,0.471864726025153,6.05350500220243e-05,0.000264873370494961,"Downregulated"
"5119","SPINK1-202",63.651905946144,1.17841952000383,0.308495348524366,6.06001478391147e-05,0.000265106409593502,"Upregulated"
"5120","LINC00702-210",9.83572893737246,-4.77045823705734,1.42783889037569,6.0641041061632e-05,0.000265181697624329,"Downregulated"
"5121","CCDC126-201",13.7845721786637,-2.59381895021883,0.727872790811803,6.06397612846334e-05,0.000265181697624329,"Downregulated"
"5122","PRDX1-205",40.138418928685,1.33039669586101,0.35223364037902,6.07054594405792e-05,0.000265411569447937,"Upregulated"
"5123","CDC37L1-DT-201",14.9974034930154,2.31073131043448,0.652086309488528,6.10013633019178e-05,0.000266653236342601,"Upregulated"
"5124","NAMA-202",25.1372518620818,1.99358594354883,0.553371167809743,6.12475736469048e-05,0.000267677237363151,"Upregulated"
"5125","PSPH-245",177.348703026281,-0.831660135181239,0.21234107762007,6.129645344961e-05,0.000267838590936696,"Downregulated"
"5126","RPS6-224",179.120411429187,1.43557330405496,0.383635941569837,6.13135764737847e-05,0.000267861145445559,"Upregulated"
